"","x"
"1276",654
"1277",588
"1278",648
"1279",649
"1280",644
"1281",655
"1282",656
"1283",195
"1284",656
"1285",657
"1286",514
"1287",658
"1288",659
"1289",609
"1290",609
"1291",609
"1292",610
"1293",609
"1294",641
"1295",660
"1296",325
"1297",642
"1298",661
"1299",662
"1300",644
"1301",657
"1302",658
"1303",663
"1304",664
"1305",665
"1306",666
"1307",667
"1308",668
"1309",580
"1310",669
"1311",670
"1312",423
"1313",671
"1314",164
"1315",672
"1316",673
"1317",674
"1318",675
"1319",676
"1320",677
"1321",678
"1322",679
"1323",580
"1324",669
"1325",667
"1326",680
"1327",650
"1328",423
"1329",644
"1330",681
"1331",682
"1332",353
"1333",306
"1334",683
"1335",357
"1336",657
"1337",658
"1338",653
"1339",654
"1340",677
"1341",563
"1342",580
"1343",669
"1344",684
"1345",665
"1346",293
"1347",645
"1348",685
"1349",123
"1350",656
"1351",59
"1352",59
"1353",657
"1354",658
"1355",423
"1356",686
"1357",169
"1358",406
"1359",645
"1360",645
"1361",687
"1362",442
"1363",676
"1364",688
"1365",676
"1366",644
"1367",514
"1368",645
"1369",423
"1370",650
"1371",689
"1372",673
"1373",690
"1374",691
"1375",692
"1376",693
"1377",690
"1378",694
"1379",641
"1380",642
"1381",642
"1382",662
"1383",406
"1384",644
"1385",644
"1386",644
"1387",657
"1388",658
"1389",672
"1390",695
"1391",696
"1392",697
"1393",698
"1394",699
"1395",697
"1396",700
"1397",701
"1398",654
"1399",702
"1400",678
"1401",580
"1402",669
"1403",684
"1404",703
"1405",650
"1406",423
"1407",644
"1408",681
"1409",169
"1410",353
"1411",306
"1412",683
"1413",357
"1414",678
"1415",580
"1416",669
"1417",684
"1418",579
"1419",584
"1420",704
"1421",672
"1422",644
"1423",694
"1424",654
"1425",353
"1426",703
"1427",672
"1428",695
"1429",705
"1430",697
"1431",698
"1432",699
"1433",697
"1434",700
"1435",701
"1436",654
"1437",702
"1438",678
"1439",580
"1440",669
"1441",684
"1442",650
"1443",423
"1444",644
"1445",681
"1446",169
"1447",353
"1448",306
"1449",683
"1450",357
"1451",353
"1452",672
"1453",695
"1454",706
"1455",697
"1456",698
"1457",423
"1458",697
"1459",700
"1460",701
"1461",654
"1462",702
"1463",439
"1464",678
"1465",707
"1466",579
"1467",679
"1468",680
"1469",684
"1470",580
"1471",669
"1472",684
"1473",439
"1474",650
"1475",423
"1476",644
"1477",681
"1478",169
"1479",353
"1480",306
"1481",683
"1482",357
"1483",672
"1484",695
"1485",708
"1486",697
"1487",698
"1488",699
"1489",697
"1490",700
"1491",701
"1492",654
"1493",702
"1494",678
"1495",709
"1496",580
"1497",669
"1498",684
"1499",650
"1500",423
"1501",644
"1502",681
"1503",169
"1504",353
"1505",306
"1506",683
"1507",357
"1508",353
"1509",672
"1510",674
"1511",710
"1512",678
"1513",580
"1514",669
"1515",684
"1516",711
"1517",650
"1518",423
"1519",644
"1520",681
"1521",682
"1522",353
"1523",306
"1524",683
"1525",357
"1526",644
"1527",672
"1528",695
"1529",712
"1530",697
"1531",698
"1532",699
"1533",697
"1534",700
"1535",701
"1536",654
"1537",702
"1538",713
"1539",671
"1540",684
"1541",701
"1542",644
"1543",714
"1544",715
"1545",716
"1546",717
"1547",644
"1548",423
"1549",717
"1550",644
"1551",423
"1552",644
"1553",650
"1554",423
"1555",644
"1556",681
"1557",423
"1558",718
"1559",612
"1560",719
"1561",719
"1562",720
"1563",721
"1564",720
"1565",720
"1566",608
"1567",722
"1568",723
"1569",724
"1570",725
"1571",726
"1572",164
"1573",400
"1574",727
"1575",728
"1576",583
"1577",487
"1578",729
"1579",730
"1580",487
"1581",731
"1582",569
"1583",482
"1584",486
"1585",557
"1586",732
"1587",732
"1588",69
"1589",732
"1590",733
"1591",1
"1592",13
"1593",211
"1594",734
"1595",735
"1596",169
"1597",169
"1598",169
"1599",397
"1600",736
"1601",363
"1602",736
"1603",737
"1604",607
"1605",363
"1606",738
"1607",739
"1608",740
"1609",741
"1610",742
"1611",742
"1612",743
"1613",744
"1614",300
"1615",300
"1616",205
"1617",745
"1618",746
"1619",399
"1620",747
"1621",748
"1622",749
"1623",750
"1624",751
"1625",752
"1626",753
"1627",751
"1628",751
"1629",754
"1630",755
"1631",756
"1632",757
"1633",758
"1634",759
"1635",759
"1636",759
"1637",116
"1638",760
"1639",761
"1640",761
"1641",762
"1642",709
"1643",763
"1644",764
"1645",765
"1646",766
"1647",767
"1648",768
"1649",769
"1650",770
"1651",771
"1652",772
"1653",773
"1654",774
"1655",775
"1656",776
"1657",777
"1658",778
"1659",779
"1660",780
"1661",781
"1662",782
"1663",783
"1664",784
"1665",785
"1666",786
"1667",787
"1668",788
"1669",789
"1670",790
"1671",791
"1672",792
"1673",793
"1674",794
"1675",771
"1676",771
"1677",795
"1678",796
"1679",797
"1680",798
"1681",799
"1682",532
"1683",799
"1684",800
"1685",799
"1686",664
"1687",532
"1688",532
"1689",532
"1690",532
"1691",799
"1692",527
"1693",664
"1694",801
"1695",800
"1696",802
"1697",205
"1698",535
"1699",803
"1700",804
"1701",805
"1702",806
"1703",807
"1704",808
"1705",809
"1706",810
"1707",811
"1708",812
"1709",813
"1710",814
"1711",31
"1712",811
"1713",815
"1714",816
"1715",817
"1716",488
"1717",168
"1718",818
"1719",819
"1720",820
"1721",821
"1722",822
"1723",823
"1724",822
"1725",823
"1726",824
"1727",825
"1728",172
"1729",826
"1730",737
"1731",827
"1732",828
"1733",829
"1734",830
"1735",831
"1736",831
"1737",832
"1738",833
"1739",834
"1740",835
"1741",836
"1742",837
"1743",838
"1744",839
"1745",840
"1746",841
"1747",842
"1748",843
"1749",844
"1750",845
"1751",846
"1752",847
"1753",848
"1754",849
"1755",850
"1756",851
"1757",852
"1758",169
"1759",853
"1760",854
"1761",855
"1762",856
"1763",857
"1764",858
"1765",49
"1766",49
"1767",257
"1768",859
"1769",860
"1770",49
"1771",861
"1772",862
"1773",863
"1774",864
"1775",687
"1776",865
"1777",866
"1778",867
"1779",868
"1780",869
"1781",760
"1782",760
"1783",870
"1784",527
"1785",871
"1786",871
"1787",872
"1788",873
"1789",873
"1790",874
"1791",875
"1792",876
"1793",276
"1794",877
"1795",877
"1796",877
"1797",22
"1798",878
"1799",225
"1800",879
"1801",195
"1802",880
"1803",205
"1804",881
"1805",882
"1806",883
"1807",884
"1808",760
"1809",885
"1810",886
"1811",887
"1812",888
"1813",889
"1814",890
"1815",891
"1816",892
"1817",887
"1818",205
"1819",8
"1820",893
"1821",893
"1822",893
"1823",894
"1824",895
"1825",896
"1826",897
"1827",898
"1828",760
"1829",899
"1830",900
"1831",901
"1832",197
"1833",902
"1834",903
"1835",760
"1836",904
"1837",905
"1838",906
"1839",35
"1840",36
"1841",907
"1842",908
"1843",31
"1844",909
"1845",910
"1846",911
"1847",912
"1848",913
"1849",914
"1850",915
"1851",916
"1852",917
"1853",918
"1854",919
"1855",920
"1856",921
"1857",922
"1858",840
"1859",923
"1860",20
"1861",194
"1862",924
"1863",925
"1864",881
"1865",861
"1866",883
"1867",926
"1868",927
"1869",31
"1870",928
"1871",929
"1872",930
"1873",141
"1874",931
"1875",932
"1876",933
"1877",934
"1878",935
"1879",936
"1880",937
"1881",938
"1882",31
"1883",902
"1884",69
"1885",939
"1886",940
"1887",941
"1888",761
"1889",942
"1890",943
"1891",941
"1892",761
"1893",942
"1894",943
"1895",737
"1896",944
"1897",945
"1898",946
"1899",69
"1900",947
"1901",943
"1902",948
"1903",949
"1904",950
"1905",951
"1906",748
"1907",952
"1908",953
"1909",952
"1910",954
"1911",955
"1912",956
"1913",31
"1914",141
"1915",318
"1916",957
"1917",958
"1918",959
"1919",959
"1920",960
"1921",960
"1922",961
"1923",961
"1924",962
"1925",963
"1926",964
"1927",108
"1928",965
"1929",109
"1930",106
"1931",107
"1932",941
"1933",761
"1934",947
"1935",943
"1936",966
"1937",761
"1938",954
"1939",69
"1940",761
"1941",947
"1942",943
"1943",948
"1944",967
"1945",968
"1946",969
"1947",970
"1948",971
"1949",972
"1950",973
"1951",974
"1952",974
"1953",903
"1954",195
"1955",438
"1956",975
"1957",195
"1958",976
"1959",977
"1960",978
"1961",979
"1962",980
"1963",981
"1964",929
"1965",982
"1966",195
"1967",976
"1968",978
"1969",983
"1970",979
"1971",984
"1972",985
"1973",982
"1974",973
"1975",986
"1976",987
"1977",141
"1978",988
"1979",989
"1980",990
"1981",76
"1982",991
"1983",992
"1984",993
"1985",925
"1986",994
"1987",925
"1988",994
"1989",995
"1990",996
"1991",918
"1992",997
"1993",998
"1994",760
"1995",999
"1996",651
"1997",1000
"1998",908
"1999",907
"2000",76
"2001",1001
"2002",925
"2003",66
"2004",1002
"2005",893
"2006",893
"2007",893
"2008",893
"2009",925
"2010",994
"2011",881
"2012",881
"2013",881
"2014",1003
"2015",925
"2016",1004
"2017",1005
"2018",1006
"2019",1007
"2020",1008
"2021",872
"2022",1009
"2023",950
"2024",951
"2025",1010
"2026",287
"2027",286
"2028",442
"2029",629
"2030",495
"2031",539
"2032",1011
"2033",1012
"2034",1013
"2035",1014
"2036",1015
"2037",1016
"2038",407
"2039",1017
"2040",1016
"2041",1018
"2042",1019
"2043",1020
"2044",1021
"2045",1022
"2046",1023
"2047",1023
"2048",1023
"2049",1023
"2050",1024
"2051",1025
"2052",1026
"2053",1027
"2054",1028
"2055",1014
"2056",1029
"2057",495
"2058",495
"2059",495
"2060",901
"2061",1030
"2062",1030
"2063",1031
"2064",508
"2065",1032
"2066",76
"2067",1033
"2068",1034
"2069",1034
"2070",1034
"2071",1035
"2072",1036
"2073",1037
"2074",1038
"2075",298
"2076",510
"2077",1039
"2078",1040
"2079",1041
"2080",1041
"2081",1042
"2082",1042
"2083",1043
"2084",286
"2085",1044
"2086",1045
"2087",1046
"2088",1047
"2089",1029
"2090",1026
"2091",260
"2092",1048
"2093",141
"2094",1049
"2095",1044
"2096",1050
"2097",1051
"2098",1052
"2099",1053
"2100",1054
"2101",116
"2102",116
"2103",1055
"2104",1056
"2105",825
"2106",1057
"2107",1058
"2108",1059
"2109",1060
"2110",721
"2111",1061
"2112",1062
"2113",406
"2114",406
"2115",1063
"2116",1064
"2117",1065
"2118",1066
"2119",1067
"2120",498
"2121",499
"2122",608
"2123",609
"2124",503
"2125",1068
"2126",495
"2127",1069
"2128",995
"2129",1070
"2130",1071
"2131",58
"2132",1072
"2133",663
"2134",1073
"2135",1074
"2136",1074
"2137",1074
"2138",1074
"2139",1075
"2140",298
"2141",1073
"2142",1076
"2143",1077
"2144",1078
"2145",1079
"2146",1080
"2147",285
"2148",285
"2149",1081
"2150",172
"2151",1082
"2152",1082
"2153",1082
"2154",1083
"2155",1083
"2156",1084
"2157",1085
"2158",109
"2159",1086
"2160",1087
"2161",1088
"2162",1089
"2163",1089
"2164",1090
"2165",1091
"2166",195
"2167",1092
"2168",1093
"2169",1094
"2170",195
"2171",195
"2172",987
"2173",1095
"2174",1095
"2175",1096
"2176",1097
"2177",534
"2178",195
"2179",1098
"2180",395
"2181",1099
"2182",605
"2183",1099
"2184",1100
"2185",1101
"2186",1102
"2187",1103
"2188",1104
"2189",1105
"2190",1106
"2191",1104
"2192",1107
"2193",1106
"2194",1105
"2195",1105
"2196",1106
"2197",1108
"2198",1108
"2199",1109
"2200",1109
"2201",1109
"2202",1092
"2203",1110
"2204",332
"2205",1109
"2206",1109
"2207",1111
"2208",1112
"2209",1113
"2210",1114
"2211",1113
"2212",1112
"2213",1115
"2214",1116
"2215",1117
"2216",1118
"2217",1119
"2218",1120
"2219",1120
"2220",1117
"2221",1121
"2222",1122
"2223",1121
"2224",285
"2225",1123
"2226",1124
"2227",1125
"2228",1126
"2229",1126
"2230",220
"2231",825
"2232",1127
"2233",99
"2234",99
"2235",99
"2236",99
"2237",1128
"2238",1129
